site,id,water_pot_mpa,start_weight,weight_g,total_weight_g,mass_lost_g,dry_mass,wc,sat_mass_est,rwc,notes
SRER,1,1.71,4.7327,4.6555,4.6555,0.07720000000000038,2.1702,1.145193991337204,4.9256262446693,0.9019657139464752,NA
SRER,1,1.98,4.7327,4.6088,4.6088,0.1239000000000008,2.1702,1.1236752373053174,4.9256262446693,0.8850173379591493,NA
SRER,1,2.27,4.7327,4.5544,4.5544,0.17830000000000013,2.1702,1.0986084231868032,4.9256262446693,0.8652744759953269,"pv(""latr_2"", plotonly = T)"
SRER,1,2.62,4.7327,4.5095,4.5095,0.2232000000000003,2.1702,1.077919085798544,4.9256262446693,0.8489793564700395,NA
SRER,1,2.91,4.7327,4.4604,4.4604,0.27230000000000043,2.1702,1.0552944429084878,4.9256262446693,0.8311599718666628,NA
SRER,1,3.38,4.7327,4.3749,4.3749,0.3578000000000001,2.1702,1.0158971523361904,4.9256262446693,0.8001302899198462,NA
SRER,1,3.49,4.7327,4.3014,4.3014,0.43130000000000024,2.1702,0.9820293060547416,4.9256262446693,0.7734556510532844,NA
SRER,1,3.77,4.7327,4.2159,4.2159,0.5167999999999999,2.1702,0.9426320154824442,4.9256262446693,0.7424259691064677,NA
SRER,1,4.18,4.7327,4.1541,4.1541,0.5786000000000007,2.1702,0.9141553773845728,4.9256262446693,0.7199974972431544,NA
SRER,1,4.44,4.7327,4.0956,4.0956,0.6371000000000002,2.1702,0.8871993364666853,4.9256262446693,0.6987666622269115,NA
SRER,1,4.73,4.7327,4.0515,4.0515,0.6812000000000005,2.1702,0.8668786286978158,4.9256262446693,0.6827618789069744,"pv(""latr_3"", plotonly = T)"
SRER,1,4.95,4.7327,3.9461,3.9461,0.7866000000000004,2.1702,0.8183116763431942,4.9256262446693,0.6445100838520682,NA
SRER,2,1.09,2.2643,2.2643,2.2643,0,1.0052,1.2525865499403102,2.331408577972773,0.9493981722879864,NA
SRER,2,1.32,2.2643,2.2396,2.2396,0.02470000000000016,1.0052,1.2280143255073612,2.331408577972773,0.9307736509191408,NA
SRER,2,1.49,2.2643,2.2253,2.2253,0.03900000000000014,1.0052,1.2137883008356545,2.331408577972773,0.919991033284546,NA
SRER,2,1.97,2.2643,2.2023,2.2023,0.06199999999999983,1.0052,1.1909072821329088,2.331408577972773,0.9026483615645688,NA
SRER,2,2.32,2.2643,2.1774,2.1774,0.08689999999999998,1.0052,1.1661360923199362,2.331408577972773,0.88387303435468,NA
SRER,2,2.77,2.2643,2.1452,2.1452,0.11909999999999998,1.0052,1.134102666136092,2.331408577972773,0.8595932939467115,NA
SRER,2,3.12,2.2643,2.1054,2.1054,0.15890000000000004,1.0052,1.0945085555113407,2.331408577972773,0.8295829315790981,NA
SRER,2,3.4,2.2643,2.0605,2.0605,0.20379999999999976,1.0052,1.049840827695981,2.331408577972773,0.7957270202648814,NA
SRER,2,3.72,2.2643,2.0152,2.0152,0.24909999999999988,1.0052,1.0047751691205729,2.331408577972773,0.7615694972685778,NA
SRER,2,3.92,2.2643,1.9691,1.9691,0.2951999999999999,1.0052,0.9589136490250696,2.331408577972773,0.726808750908101,NA
SRER,2,4.32,2.2643,1.9294,1.9294,0.3349,1.0052,0.91941902109033,2.331408577972773,0.6968737914610094,NA
SRER,2,4.72,2.2643,1.9004,1.9004,0.3638999999999999,1.0052,0.8905690409868682,2.331408577972773,0.6750069445097335,NA
SRER,2,6.79,2.2643,1.8553,1.8553,0.409,1.0052,0.845702347791484,2.331408577972773,0.6410002273544732,NA
SRER,3,1.47,3.4973,3.4973,3.4973,0,1.6909,1.0683068188538647,3.6775380370503457,0.9092748484178056,NA
SRER,3,1.66,3.4973,3.4652,3.4652,0.03210000000000024,1.6909,1.0493228458217516,3.6775380370503457,0.8931168974466964,NA
SRER,3,1.85,3.4973,3.4482,3.4482,0.04910000000000014,1.6909,1.0392690283281092,3.6775380370503457,0.8845597271504705,NA
SRER,3,2.09,3.4973,3.4233,3.4233,0.07400000000000029,1.6909,1.0245431427050682,3.6775380370503457,0.8720259894812923,NA
SRER,3,2.39,3.4973,3.3846,3.3846,0.11270000000000024,1.6909,1.0016559228813056,3.6775380370503457,0.852545842983413,NA
SRER,3,2.7,3.4973,3.3484,3.3484,0.14890000000000023,1.6909,0.9802472056301376,3.6775380370503457,0.8343241038820376,NA
SRER,3,2.92,3.4973,3.3089,3.3089,0.18840000000000012,1.6909,0.956886864983145,3.6775380370503457,0.8144412670172771,NA
SRER,3,3.25,3.4973,3.2553,3.2553,0.242,1.6909,0.9251877698267196,3.6775380370503457,0.7874610124362351,NA
SRER,3,3.37,3.4973,3.1982,3.1982,0.29910000000000014,1.6909,0.8914187710686615,3.6775380370503457,0.7587189875000877,NA
SRER,3,3.66,3.4973,3.1352,3.1352,0.36209999999999987,1.6909,0.8541605062392809,3.6775380370503457,0.7270071211081913,NA
SRER,3,3.97,3.4973,3.0775,3.0775,0.4197999999999999,1.6909,0.8200366668638004,3.6775380370503457,0.697963078396883,NA
SRER,3,4.17,3.4973,3.0371,3.0371,0.46019999999999994,1.6909,0.7961440652906736,3.6775380370503457,0.6776272148693812,NA
SRER,3,4.58,3.4973,2.9918,2.9918,0.5055000000000001,1.6909,0.7693535986752617,3.6775380370503457,0.6548248728447317,NA
SRER,3,5.13,3.4973,2.8621,2.8621,0.6352000000000002,1.6909,0.6926488852090601,3.6775380370503457,0.5895386971141131,NA
SRER,4,1.39,3.2939,3.2939,3.2939,0,1.5351,1.1457234056413264,3.4238140134312167,0.9312156247545372,NA
SRER,4,1.59,3.2939,3.2533,3.2533,0.04059999999999997,1.5351,1.1192756172236338,3.4238140134312167,0.9097195169736444,NA
SRER,4,1.82,3.2939,3.2261,3.2261,0.06779999999999964,1.5351,1.1015569018304998,3.4238140134312167,0.895318183682012,NA
SRER,4,2.01,3.2939,3.2165,3.2165,0.07739999999999991,1.5351,1.0953032375740994,3.4238140134312167,0.890235360167318,NA
SRER,4,2.23,3.2939,3.188,3.188,0.10589999999999966,1.5351,1.0767376718129114,3.4238140134312167,0.8751457278580708,NA
SRER,4,2.71,3.2939,3.1513,3.1513,0.14259999999999984,1.5351,1.0528304344993813,3.4238140134312167,0.8557145171300222,NA
SRER,4,3.09,3.2939,3.1222,3.1222,0.17169999999999996,1.5351,1.0338740147221681,3.4238140134312167,0.8403072083511064,NA
SRER,4,3.58,3.2939,2.9654,2.9654,0.3285,1.5351,0.9317308318676308,3.4238140134312167,0.7572877576111068,NA
