"","id","dt","water_pot_mpa","total_weight_g","start_wp","start_weight","mass_lost_g","superID","dry_mass","wc","r2","n","slope","sat_mass_est","keep","rwc","rwc_plotting"
"59",5,2025-03-13 14:57:00,-3.934,3.1201,-0.996,3.3955,0.275400000000001,4,1.8918,0.649275821968495,0.999132922380431,4,0.100886709845917,3.49526326421155,FALSE,0.766029398624219,0.233970601375781
"60",6,2025-03-12 23:52:00,-1.387,8.451,-1.318,8.4901,0.0391000000000012,5,4.6606,0.813285843024503,0.976399372371874,6,0.243095802356461,8.7652504802553,TRUE,0.923440380181712,0.0765596198182878
"61",6,2025-03-13 00:28:00,-1.538,8.3578,-1.318,8.4901,0.132300000000001,5,4.6606,0.793288417800283,0.976399372371874,6,0.243095802356461,8.7652504802553,TRUE,0.90073442739759,0.0992655726024096
"62",6,2025-03-13 01:30:00,-2.223,8.2365,-1.318,8.4901,0.2536,5,4.6606,0.767261725958031,0.976399372371874,6,0.243095802356461,8.7652504802553,TRUE,0.871182581123835,0.128817418876165
"63",6,2025-03-13 02:07:00,-2.325,8.2126,-1.318,8.4901,0.2775,5,4.6606,0.762133630862979,0.976399372371874,6,0.243095802356461,8.7652504802553,TRUE,0.865359917266105,0.134640082733895
"64",6,2025-03-13 03:08:00,-2.54,8.1397,-1.318,8.4901,0.3504,5,4.6606,0.746491867999828,0.976399372371874,6,0.243095802356461,8.7652504802553,TRUE,0.847599574369511,0.152400425630489
"65",6,2025-03-13 04:13:00,-2.689,8.1061,-1.318,8.4901,0.384,5,4.6606,0.739282495815989,0.976399372371874,6,0.243095802356461,8.7652504802553,TRUE,0.839413737314291,0.160586262685709
"66",6,2025-03-13 05:40:00,-2.824,8.0419,-1.318,8.4901,0.4482,5,4.6606,0.725507445393297,0.976399372371874,6,0.243095802356461,8.7652504802553,FALSE,0.823772941512353,0.176227058487647
"67",6,2025-03-13 07:40:00,-2.935,7.9523,-1.318,8.4901,0.537800000000001,5,4.6606,0.70628245290306,0.976399372371874,6,0.243095802356461,8.7652504802553,FALSE,0.801944042698433,0.198055957301567
"68",6,2025-03-13 10:20:00,-3.115,7.8832,-1.318,8.4901,0.6069,5,4.6606,0.691456035703558,0.976399372371874,6,0.243095802356461,8.7652504802553,FALSE,0.78510947899261,0.21489052100739
