"","id","dt","water_pot_mpa","total_weight_g","total_dry_weight_g","start_weight","mass_lost_g","superID","dry_mass","wc","r2","n","slope","sat_mass_est","keep","rwc","rwc_plotting"
"59","6",2025-03-12 15:26:00,-2.032,4.5039,NA,4.9429,0.438999999999999,5,2.6039,0.729674718691194,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.536624482338631,0.463375517661369
"60","6",2025-03-12 16:02:00,-2.165,4.4713,NA,4.9429,0.4716,5,2.6039,0.717155036675755,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.527417135957452,0.472582864042548
"61","6",2025-03-12 16:40:00,-2.31,4.4381,NA,4.9429,0.504799999999999,5,2.6039,0.704404931064941,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.51804032921343,0.48195967078657
"62","6",2025-03-12 17:25:00,-2.468,4.4101,NA,4.9429,0.532800000000001,5,2.6039,0.693651829947386,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.510132178947386,0.489867821052614
"63","6",2025-03-12 18:25:00,-2.543,4.3705,NA,4.9429,0.572399999999999,5,2.6039,0.67844387265256,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.498947794999697,0.501052205000303
"64","6",2025-03-12 19:40:00,-2.638,4.3158,NA,4.9429,0.6271,5,2.6039,0.657436921540766,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.483498658587106,0.516501341412894
"65","6",2025-03-12 20:56:00,-2.81,4.252,NA,4.9429,0.690899999999999,5,2.6039,0.632935212565767,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.465479373338051,0.534520626661949
"66","6",2025-03-12 22:21:00,-3.125,4.1906,NA,4.9429,0.7523,5,2.6039,0.609355197972272,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.448137929540371,0.551862070459629
"67","6",2025-03-12 23:59:00,-3.312,4.1192,NA,4.9429,0.8237,5,2.6039,0.581934790122509,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.427972146361962,0.572027853638038
"68","6",2025-03-13 01:40:00,-3.536,4.0485,NA,4.9429,0.8944,5,2.6039,0.554783209800684,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.408004066940203,0.591995933059797
"69","6",2025-03-13 06:09:00,-3.832,3.9494,NA,4.9429,0.9935,5,2.6039,0.516724912631053,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.380014863677172,0.619985136322828
"70","6",2025-03-13 09:18:00,-4.257,3.8559,NA,4.9429,1.087,5,2.6039,0.480817235684935,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.353607290467351,0.646392709532649
"71","6",2025-03-13 11:56:00,-4.472,3.8021,NA,4.9429,1.1408,5,2.6039,0.460155919966205,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.338412344599025,0.661587655400975
"72","8",2025-03-12 20:12:00,-0.748,2.1356,NA,2.1356,0,6,1.059,1.0166194523135,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.888479060322155,0.111520939677845
"73","8",2025-03-12 20:15:00,-1.085,2.1039,NA,2.1356,0.0316999999999998,6,1.059,0.986685552407932,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.862318196294464,0.137681803705536
"74","8",2025-03-12 20:19:00,-1.172,2.0702,NA,2.1356,0.0654000000000003,6,1.059,0.954863078375826,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.834506804567865,0.165493195432135
"75","8",2025-03-12 20:27:00,-1.261,1.9962,NA,2.1356,0.1394,6,1.059,0.884985835694051,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.77343727970827,0.22656272029173
"76","8",2025-03-12 20:48:00,-1.558,1.8949,NA,2.1356,0.2407,6,1.059,0.78932955618508,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.689838051758582,0.310161948241418
"77","8",2025-03-12 21:06:00,-1.918,1.8438,NA,2.1356,0.2918,6,1.059,0.741076487252125,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.647667069051484,0.352332930948516
"78","8",2025-03-12 21:24:00,-2.179,1.8068,NA,2.1356,0.3288,6,1.059,0.706137865911237,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.617132306621686,0.382867693378314
"79","8",2025-03-12 21:43:00,-2.383,1.7751,NA,2.1356,0.3605,6,1.059,0.676203966005666,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.590971442593996,0.409028557406004
"80","8",2025-03-12 22:11:00,-2.586,1.7417,NA,2.1356,0.3939,6,1.059,0.64466477809254,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.563407630022232,0.436592369977768
"81","8",2025-03-12 22:40:00,-2.688,1.717,NA,2.1356,0.4186,6,1.059,0.62134088762984,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.543023612940719,0.456976387059281
"82","8",2025-03-12 23:20:00,-2.919,1.6894,NA,2.1356,0.4462,6,1.059,0.595278564683664,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.520246330695789,0.479753669304211
"83","8",2025-03-13 00:12:00,-3.076,1.6654,NA,2.1356,0.4702,6,1.059,0.57261567516525,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.500439998308894,0.499560001691106
"84","8",2025-03-13 01:07:00,-3.165,1.6403,NA,2.1356,0.495300000000001,6,1.059,0.548914069877242,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.479725875687599,0.520274124312401
"85","8",2025-03-13 02:33:00,-3.375,1.6119,NA,2.1356,0.523700000000001,6,1.059,0.522096317280453,0.97130033477615,14,0.202506276307845,2.2707336784613,TRUE,0.456288382363105,0.543711617636895
"86","8",2025-03-13 02:00:00,-3.719,1.5928,NA,2.1356,0.542800000000001,6,1.059,0.504060434372049,0.97130033477615,14,0.202506276307845,2.2707336784613,FALSE,0.440525842838534,0.559474157161466
"87","8",2025-03-13 05:49:00,-3.856,1.572,NA,2.1356,0.5636,6,1.059,0.484419263456091,0.97130033477615,14,0.202506276307845,2.2707336784613,FALSE,0.423360354769892,0.576639645230108
"88","8",2025-03-13 09:01:00,-4.331,1.5245,NA,2.1356,0.6111,6,1.059,0.439565627950897,0.97130033477615,14,0.202506276307845,2.2707336784613,FALSE,0.384160321920828,0.615839678079172
"89","8",2025-03-13 11:39:00,-4.868,1.458,NA,2.1356,0.6776,6,1.059,0.376770538243626,0.97130033477615,14,0.202506276307845,2.2707336784613,FALSE,0.329280275932138,0.670719724067862
