sample,ID,P.MPa,mass.g,mass_lost,leaf.mass.g,offset.mass.g,note,dry_mass,wc,r2,n,slope,sat_mass_est,keep,rwc,rwc_plotting
LATR_2,2,3.12,2.1054,0.15890000000000004,2.1054,0,NA,1.0052,1.0945085555113407,0.9938553877522338,5,-0.0633024333719583,2.3229190034762457,FALSE,0.8349276265255235,0.16507237347447645
LATR_2,2,3.4,2.0605,0.20379999999999976,2.0605,0,NA,1.0052,1.049840827695981,0.9938553877522338,5,-0.0633024333719583,2.3229190034762457,FALSE,0.8008535941395976,0.19914640586040244
LATR_2,2,3.72,2.0152,0.24909999999999988,2.0152,0,NA,1.0052,1.0047751691205729,0.9938553877522338,5,-0.0633024333719583,2.3229190034762457,FALSE,0.7664760068994536,0.2335239931005464
LATR_2,2,3.92,1.9691,0.2951999999999999,1.9691,0,NA,1.0052,0.9589136490250695,0.9938553877522338,5,-0.0633024333719583,2.3229190034762457,FALSE,0.7314913099508746,0.26850869004912536
LATR_2,2,4.32,1.9294,0.3349,1.9294,0,NA,1.0052,0.9194190210903301,0.9938553877522338,5,-0.0633024333719583,2.3229190034762457,FALSE,0.7013634906697772,0.2986365093302228
LATR_2,2,4.72,1.9004,0.3638999999999999,1.9004,0,NA,1.0052,0.8905690409868682,0.9938553877522338,5,-0.0633024333719583,2.3229190034762457,FALSE,0.6793557637390009,0.32064423626099914
LATR_2,2,6.79,1.8553,0.409,1.8553,0,NA,1.0052,0.845702347791484,0.9938553877522338,5,-0.0633024333719583,2.3229190034762457,FALSE,0.6451299539259657,0.3548700460740343
LATR_3,3,1.66,3.4652,0.03210000000000024,3.4652,0,NA,1.6909,1.0493228458217516,0.998287357028933,3,-0.09771356783919886,3.6279653266331713,TRUE,0.9159732382820175,0.08402676171798251
LATR_3,3,1.85,3.4482,0.04910000000000014,3.4482,0,NA,1.6909,1.0392690283281092,0.998287357028933,3,-0.09771356783919886,3.6279653266331713,TRUE,0.9071970758231356,0.09280292417686442
LATR_3,3,2.09,3.4233,0.07400000000000029,3.4233,0,NA,1.6909,1.0245431427050682,0.998287357028933,3,-0.09771356783919886,3.6279653266331713,TRUE,0.894342579045126,0.10565742095487396
LATR_3,3,2.39,3.3846,0.11270000000000024,3.3846,0,NA,1.6909,1.0016559228813056,0.998287357028933,3,-0.09771356783919886,3.6279653266331713,FALSE,0.8743639033299064,0.12563609667009357
LATR_3,3,2.7,3.3484,0.14890000000000023,3.3484,0,NA,1.6909,0.9802472056301376,0.998287357028933,3,-0.09771356783919886,3.6279653266331713,FALSE,0.855675839740993,0.14432416025900696
LATR_3,3,2.92,3.3089,0.18840000000000012,3.3089,0,NA,1.6909,0.956886864983145,0.998287357028933,3,-0.09771356783919886,3.6279653266331713,FALSE,0.8352841681453556,0.16471583185464445
LATR_3,3,3.25,3.2553,0.242,3.2553,0,NA,1.6909,0.9251877698267195,0.998287357028933,3,-0.09771356783919886,3.6279653266331713,FALSE,0.8076134441573513,0.19238655584264874
LATR_3,3,3.37,3.1982,0.29910000000000014,3.1982,0,NA,1.6909,0.8914187710686615,0.998287357028933,3,-0.09771356783919886,3.6279653266331713,FALSE,0.7781358631925182,0.22186413680748185
LATR_3,3,3.66,3.1352,0.36209999999999987,3.1352,0,NA,1.6909,0.8541605062392809,0.998287357028933,3,-0.09771356783919886,3.6279653266331713,FALSE,0.7456124376096027,0.2543875623903973
LATR_3,3,3.97,3.0775,0.4197999999999999,3.0775,0,NA,1.6909,0.8200366668638004,0.998287357028933,3,-0.09771356783919886,3.6279653266331713,FALSE,0.7158251097344562,0.28417489026554377
LATR_3,3,4.17,3.0371,0.46019999999999994,3.0371,0,NA,1.6909,0.7961440652906736,0.998287357028933,3,-0.09771356783919886,3.6279653266331713,FALSE,0.6949688177733484,0.3050311822266516
LATR_3,3,4.58,2.9918,0.5055000000000001,2.9918,0,NA,1.6909,0.7693535986752617,0.998287357028933,3,-0.09771356783919886,3.6279653266331713,FALSE,0.6715829260446805,0.3284170739553195
LATR_3,3,5.13,2.8621,0.6352000000000002,2.8621,0,NA,1.6909,0.6926488852090601,0.998287357028933,3,-0.09771356783919886,3.6279653266331713,FALSE,0.6046259689319161,0.3953740310680839
